台灣頻道,#genre#
國家野生（英）,https://z88.ubtvfans.com/live/rx1/1038/9b32fc6e57855ef8d8f0eec759f9ae0e/index.m3u8
探索EVE,https://z88.ubtvfans.com/live/rx3/1036/05e8b60c96fd3d3c8a88389976a9612b/index.m3u8
TaiwanPlus,https://z88.ubtvfans.com/live/rx6/327/ebb005678777b3ac5065158017054331/index.m3u8
視納華仁紀實,https://z88.ubtvfans.com/live/rx1/91/fbf3ac800330583a2479794ad81148c5/index.m3u8
美食星球,https://z88.ubtvfans.com/live/rx1/3073/d86b0ec21887580d706afa6f903a80d9/index.m3u8
美食星球,https://z88.ubtvfans.com/live/rx1/1360/8cca5ec28ec40d22e3004f21432f7ee7/index.m3u8
EYE旅遊,https://z88.ubtvfans.com/live/rx1/1494/a4a29b4fabc1169a378f13ccee13e88b/index.m3u8
探索動力DMAX,https://z88.ubtvfans.com/live/rx1/335/e0f32fb3c0eb7f4ffda974a354c02815/index.m3u8
MOMO親子,https://z88.ubtvfans.com/live/rx1/2767/d49cd499a43d8527dce626e3b22480f3/index.m3u8
東森幼幼,https://z88.ubtvfans.com/live/rx1/371/e5a626d0c50b5b2ffc67d45f5573088f/index.m3u8
東森幼幼（備）,https://z88.ubtvfans.com/live/rx1/2771/f80a3de4ce304ed26c613af4bd3a171e/index.m3u8
東森亞洲呦呦,https://z88.ubtvfans.com/live/rx1/293/b97bce651c119e363f86476c45894e3c/index.m3u8
CN卡通,https://z88.ubtvfans.com/live/rx1/107/2a996b4eec8a67c34db592186cfc9754/index.m3u8
靖洋卡通,https://z88.ubtvfans.com/live/rx1/348/f46f118edd38e34cf5f65affac4835dd/index.m3u8
靖天卡通,https://z88.ubtvfans.com/live/rx1/344/f2b38611a7331b79c3a6810a1f009503/index.m3u8
大愛一臺,https://z88.ubtvfans.com/live/rx6/11/79c9c9e7e7068753ca822e3598e19eec/index.m3u8
港澳頻道,#genre#
TVB翡翠,https://z88.ubtvfans.com/live/rx1/390/2aaf45955b88bc753effe41f9cb094d0/index.m3u8
TVB翡翠,https://z88.ubtvfans.com/live/rx1/30/c42e16b9b557b6bf5ecd8e282c711ee8/index.m3u8
TVB明珠,https://z88.ubtvfans.com/live/rx3/391/49c6f4b711497e559ed7ec30b2a7cde9/index.m3u8
TVB明珠,https://z88.ubtvfans.com/live/rx1/2437/d18c0dca00d0f0ed1381a2eec64c00e8/index.m3u8
TVB plus,https://z88.ubtvfans.com/live/rx1/45/480afc21cb6e660b63b14b1e2842b5fc/index.m3u8
TVB plus,https://z88.ubtvfans.com/live/rx1/394/a1a220b8bbe279d4ed490d9233c7fd42/index.m3u8
HOY资讯台,https://z88.ubtvfans.com/live/rx1/395/33828c5efff50928130552eef762d022/index.m3u8
Viu TV,https://z88.ubtvfans.com/live/rx1/2334/3d9e7fa4ea20135297395694ae635e7d/index.m3u8
Viutv,https://z88.ubtvfans.com/live/rx1/72/fe07d60572acf311c09c31c1823be2bd/index.m3u8
TVB_POPC,https://z88.ubtvfans.com/live/rx1/2818/b74642d4d6cc5edbb1fd792a996f6768/index.m3u8
TVB直播,https://z88.ubtvfans.com/live/rx1/2743/63e3073323655c75b2cc780f39e50147/index.m3u8
TVB J2,https://z88.ubtvfans.com/live/rx1/392/f0a4f36cc4512c88feb32fe90dcdf284/index.m3u8
TVB J2,https://z88.ubtvfans.com/live/rx1/2834/a03f313af18ea092f5ef8f0a2bd130f2/index.m3u8
NOWTV,https://z88.ubtvfans.com/live/rx1/1246/1e15ea2827def88ef1994f4c7e3799f6/index.m3u8
鳳凰香港,https://z88.ubtvfans.com/live/rx1/2810/4fa266d15cefbf69f4a19d208a433fad/index.m3u8
鳳凰衛視,https://z88.ubtvfans.com/live/rx3/2291/2b011e9f29a96046f6b0804c7ba039ef/index.m3u8
鳳凰衛視,https://z88.ubtvfans.com/live/rx1/2812/cdd29cdeafabc4f01b5a6b2e6c92b9fd/index.m3u8
鳳凰资讯,https://z88.ubtvfans.com/live/rx1/2811/54845f69305e59126a84ed015e085529/index.m3u8
鳳凰资讯,https://z88.ubtvfans.com/live/rx3/2292/45ceb0f863d4b877269f3c784ff16f30/index.m3u8
星空衛視,https://z88.ubtvfans.com/live/rx1/56/1a0f4f99975f166b0d39157772cc34bd/index.m3u8
HOY,https://z88.ubtvfans.com/live/rx1/401/854fed92a8ecbb0a02c1119d001ccfb5/index.m3u8
HKIBC,https://z88.ubtvfans.com/live/rx1/354/99db3b3c9d6f54c585cf30f97f45f3a9/index.m3u8
廣東珠江,https://z88.ubtvfans.com/live/rx1/1034/02ee843d33b0949fb2303a53ddd96679/index.m3u8
18台,https://z88.ubtvfans.com/live/rx1/2813/aeb4576e4a832c36365a4e0a914524c3/index.m3u8
18台,https://z88.ubtvfans.com/live/rx1/44/85341c5f70a65a7ffbe09dae086f1201/index.m3u8
澳門蓮花,https://z88.ubtvfans.com/live/rx1/70/37bc89b1fcd9da68c0a8710d3cf77138/index.m3u8
鳳凰電影,https://z88.ubtvfans.com/live/rx1/2814/4e85c6e79a8008c0eeee3b9fba980941/index.m3u8
Viutv 6,https://z88.ubtvfans.com/live/rx1/176/b2b6957e3699957899727f34e90d7cf8/index.m3u8
創世電視,https://z88.ubtvfans.com/live/rx6/1317/a6cc4d38042da834e3c7eee3ad2aef10/index.m3u8
Euronews English,https://z88.ubtvfans.com/live/rx6/2342/154b6c8b822f81c15bab71d6b12ce655/index.m3u8
TVB亞洲劇,https://z88.ubtvfans.com/live/rx1/1048/967cba19213ea501424f0eca629b12e2/index.m3u8
TVB粵語片,https://z88.ubtvfans.com/live/rx1/1589/1624461c43c7c271178724c93a0d5808/index.m3u8
TVB功夫台,https://z88.ubtvfans.com/live/rx1/168/09a432a19cb9526b697914342a38afa0/index.m3u8
TVB1,https://z88.ubtvfans.com/live/rx3/1242/6045fc20e42766849008f7e4f94b01df/index.m3u8
TVB DRAMA,https://z88.ubtvfans.com/live/rx3/1243/75a6e75f5bdac50e94dcafa9a6e8da00/index.m3u8
TVBJ1,https://z88.ubtvfans.com/live/rx3/1244/e5d0e60831caa7cbd6cb28685f3ce666/index.m3u8
TVBE,https://z88.ubtvfans.com/live/rx3/1245/d7a701aa77e07df92ac0b3d16e45aba6/index.m3u8
新時代東部,https://z88.ubtvfans.com/live/rx3/1286/a8d6b7c5839888962b60049913b5a891/index.m3u8
（時移）新時代東,https://z88.ubtvfans.com/live/rx4/1287/3a88005925f3ccce0dc5d66070400e02/index.m3u8
新時代2,https://z88.ubtvfans.com/live/rx3/1288/99d190e454892806c4594d0ed8af9afc/index.m3u8
城市電視,https://z88.ubtvfans.com/live/rx4/1289/0bae9e9455a9e8cf7ffda9d078043e09/index.m3u8
